DESCRIPTION,PARKING_ZONE,PERMIT_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,Global_ID
R4813,GDL,GDL,Parallel,Active,00 Block GLENSIDE DR SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1603328 51.0376857, -114.1603329 51.0376875, -114.1603431 51.0376727, -114.1603483 51.0376552, -114.1603494 51.0376367, -114.1603494 51.0376203, -114.1603496 51.0375741, -114.1603501 51.037349))",d7dffcee-1a83-40f2-9c6f-77016a0701cd
R4864,EE,EE,Parallel,Active,3800 Block 31 ST SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1335567 51.0206388, -114.1336705 51.0205176, -114.1338509 51.0203238, -114.1339742 51.0201917, -114.1341213 51.0200351, -114.1342373 51.0199095, -114.1343569 51.0197815, -114.1343637 51.0197742))",647ad926-d5b1-496b-9abd-f41cd4d6b98f
R4870,WW,WW,Parallel,Active,600 Block MEOTA RD NE,Residential Street,N,0800-1700 MON-FRI,,,Permit Required,0800-1700 MON-FRI,FR,NE,"MULTILINESTRING ((-114.0154261 51.0577809, -114.0154174 51.0577667, -114.0153961 51.0577427, -114.0153099 51.0576491, -114.0151552 51.0574851, -114.0150063 51.0573257, -114.0148398 51.0571487, -114.0147241 51.0570265, -114.0146053 51.056898, -114.0144786 51.0567637))",ea779509-3fea-484e-b128-a041aad48420
R4872,WW,WW,Parallel,Active,500 Block MEOTA RD NE,Residential Street,N,0800-1700 MON-FRI,,,Permit Required,0800-1700 MON-FRI,FR,NE,"MULTILINESTRING ((-114.0138132 51.0559486, -114.0138133 51.0559383, -114.0138134 51.0558697, -114.0138125 51.0558063, -114.0138122 51.0557699, -114.0138122 51.055744, -114.0138098 51.0557199))",ef0ad0aa-29b4-4cbb-857d-9fc5ba8601b4
R4942,I,I,Parallel,Active,200 Block MALIBOU RD SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0919916 50.9969652, -114.091994 50.9958876, -114.0919779 50.9958053, -114.0919569 50.9957525, -114.0919378 50.995717, -114.0919147 50.9956821, -114.091888 50.9956482, -114.0918582 50.9956162, -114.0917853 50.9955533, -114.091752 50.9955274))",33a0df41-e56f-4639-ad01-028a9c9cf785
R555,Y,Y,Parallel,Active,4500 Block VANDERGRIFT CR NW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1525513 51.0902678, -114.1525492 51.089755, -114.1524796 51.0892999, -114.1524718 51.0892759))",004fe132-d669-4d46-a468-669177ee4637
R4949,I,I,Parallel,Active,00 Block MEDFORD PL SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0877438 50.9971331, -114.0877262 50.9971244, -114.0877111 50.997114, -114.087699 50.9971022, -114.0876903 50.9970892, -114.0876851 50.9970755, -114.0876836 50.9970615, -114.0876858 50.9970475, -114.0876918 50.997034, -114.0877012 50.9970212, -114.0877207 50.9969966, -114.0877355 50.9969707, -114.0877454 50.9969439, -114.0877502 50.9969165, -114.0877502 50.9969165, -114.0877497 50.9958192))",266bcfbd-02a1-42d1-aca7-2ca309c7cb27
R4955,I,I,Parallel,Active,00 Block MEDFORD PL SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0877496 50.9957739, -114.0877494 50.9957211, -114.0877493 50.9956494, -114.0877468 50.9955261, -114.0877462 50.9954767, -114.0877424 50.9954328))",8c6bf3a6-4bbf-4947-b880-e2fb390ea66c
R4973,I,I,Parallel,Active,00 Block MELVILLE PL SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0833796 50.9970261, -114.0834078 50.9970262, -114.0834268 50.9970252, -114.0834437 50.9970232, -114.0834613 50.9970199, -114.0834748 50.9970158, -114.0834932 50.9970079, -114.0835107 50.9969981, -114.083521 50.9969908, -114.0835297 50.9969821, -114.0835369 50.9969729, -114.0835439 50.9969602, -114.083547 50.9969514, -114.0835487 50.9969384, -114.0835484 50.9969167, -114.0835479 50.9968739, -114.0835485 50.9968404, -114.0835482 50.9967828, -114.0835481 50.9967029, -114.0835479 50.9966257, -114.0835478 50.9965553, -114.0835481 50.9964586, -114.0835475 50.9963718, -114.0835476 50.9962961, -114.0835474 50.9962017, -114.0835472 50.9961263, -114.0835471 50.9960181, -114.0835475 50.9959955, -114.0835464 50.9956282))",381388c3-7f4c-4e93-9098-86daeeb8dcd8
R5132,CC,CC,Parallel,Active,4600 Block 15 AV NW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1636972 51.0708444, -114.1636968 51.0708423, -114.1636953 51.0708363, -114.1636933 51.0708305, -114.1636903 51.0708249, -114.1636859 51.0708197, -114.1636815 51.0708153, -114.163677 51.070811, -114.1636725 51.0708066, -114.1636681 51.0708023, -114.1636636 51.0707979, -114.1636001 51.0707496, -114.1635267 51.0706965, -114.1634447 51.0706347, -114.1633549 51.0705682, -114.1633246 51.0705446))",34a20acd-1a12-4075-91a3-fc00d44ae73f
R5147,CC,CC,Parallel,Active,2900 Block MACKAY RD NW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1528002 51.0779844, -114.1527933 51.077893, -114.1527859 51.0778145, -114.1527778 51.0777348, -114.1527676 51.0776495, -114.1527578 51.0775642, -114.152754 51.0775243))",a3267be9-ef86-4362-af53-d397226dcde4
R5161,II,II,Parallel,Active,5000 Block 21 ST SW,Residential Street,N,0800-1700 MON-FRI,,,60,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1121955 51.009451, -114.1121952 51.0093868, -114.1121942 51.0092826, -114.1121937 51.0091946, -114.1121934 51.0091092, -114.1121936 51.0088558, -114.1121929 51.0088411, -114.1121919 51.0088346, -114.1121882 51.0088264, -114.112185 51.0088188, -114.1121794 51.0088101, -114.1121736 51.0088031, -114.1121727 51.008802, -114.1121682 51.0087963, -114.112162 51.0087901, -114.1121553 51.0087849, -114.1121491 51.0087816, -114.1121397 51.0087788, -114.1121295 51.0087761, -114.1121194 51.0087746, -114.1121145 51.0087741))",8bc133b1-260f-4430-bddf-42ace2e1f563
R5258,SIG,SIG,Parallel,Active,00 Block SIGNATURE CL SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1708921 51.0346914, -114.1708922 51.0346906, -114.1708957 51.0346229, -114.1709 51.0345377, -114.1709052 51.0344426, -114.1709098 51.034342, -114.1709136 51.0342641, -114.1709191 51.0341614, -114.1709246 51.0340406, -114.1709314 51.0339144, -114.1709348 51.0338393, -114.1709357 51.0338216, -114.1709343 51.0337973, -114.1709275 51.0337616, -114.1709196 51.0337389, -114.1709138 51.0337268, -114.170906 51.0337104, -114.1709015 51.0336955, -114.1709003 51.0336823, -114.1709012 51.0336719, -114.1709022 51.0336596, -114.1709075 51.0336423, -114.1709162 51.0336258, -114.1709239 51.0336147, -114.1709361 51.033601, -114.1709498 51.0335882, -114.1709636 51.0335785, -114.1709692 51.0335826, -114.1709752 51.033578, -114.1710085 51.0335622, -114.171044 51.0335499, -114.1710815 51.0335428, -114.1711234 51.0335403, -114.1711563 51.0335417))",8d846a97-a6b9-4905-abd8-75a8abbc6dfd
R5285,LL,LL,Parallel,Active,800 Block 8 ST SE,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-114.0410423 51.0439143, -114.0411249 51.0437783))",27e161c2-9f0b-4330-9ee8-e8fc003d5aa4
R5301,R,R,Parallel,Active,1000 Block KERFOOT CR SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0871819 50.9892425, -114.0872135 50.9892184, -114.0872301 50.9891859, -114.087233 50.9891553, -114.0872333 50.989105, -114.0872334 50.9890995, -114.0872335 50.9889806, -114.0872339 50.9889448, -114.0872348 50.9888572, -114.087234 50.9887927, -114.0872337 50.9886728, -114.0872339 50.9885941, -114.0872347 50.988519, -114.0872348 50.9883537, -114.0872344 50.9883073))",4c0d2213-6375-47b3-a985-a334894eb68e
R5303,R,R,Parallel,Active,900 Block KERFOOT CR SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0846634 50.9893697, -114.084636 50.9893546, -114.0846166 50.98933, -114.0846143 50.9892972, -114.0846264 50.9892754, -114.0846523 50.9892358, -114.0846624 50.9892027, -114.084663 50.9891555, -114.084663 50.9891512, -114.0846635 50.9890745, -114.0846637 50.9889807, -114.0846641 50.9888824, -114.0846641 50.988801, -114.0846648 50.988729, -114.0846647 50.9886362, -114.0846635 50.9885604, -114.084664 50.9884749, -114.084664 50.9883936, -114.0846641 50.988243, -114.0846642 50.9881971, -114.0846643 50.9881382, -114.0846644 50.9881295, -114.0846651 50.9880857, -114.0846653 50.9880399, -114.0846653 50.9879746, -114.0846653 50.9879329, -114.084663 50.9879066, -114.0846495 50.9878804, -114.0846302 50.9878643))",14e8a1e4-9606-42fd-ba86-b318aa79bdd0
R5322,R,R,Parallel,Active,100 Block CHEROVAN DR SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.0847116 50.9846348, -114.084703 50.9846304, -114.0846867 50.9846178, -114.0846714 50.9845921, -114.084671 50.9845686, -114.084684 50.9845418, -114.0847105 50.984501, -114.0847197 50.9844713, -114.0847208 50.9844433, -114.0847208 50.9844189, -114.0847201 50.9843892, -114.08472 50.9843272, -114.0847204 50.9842657, -114.0847208 50.9842098))",5f164046-7d60-4ad8-8bd7-e3ed2e76fb15
R5328,SIG,SIG,Parallel,Active,00 Block SIGNATURE LI SW,Residential Street,N,0800-1700 MON-FRI,,,Permit Required,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.17088 51.0360109, -114.1708801 51.0359383, -114.1708801 51.035713, -114.1708779 51.0355253, -114.1708797 51.0353796, -114.1708777 51.0352324, -114.1708782 51.0351604, -114.1708795 51.0351176))",143e460c-df16-4487-84b4-3c064b7260c3
R5331,II,II,Parallel,Active,4900 Block 21A ST SW,Residential Street,N,0800-1700 MON-FRI,,,Permit Required,0800-1700 SCHOOL DAYS,FR,SW,"MULTILINESTRING ((-114.1136166 51.0110828, -114.1136163 51.0110186, -114.1136153 51.0109144, -114.1136148 51.0108263, -114.1136145 51.010741, -114.1136131 51.0100515))",9b0e4fa9-2c1c-4785-b03f-971c285aa407
R5338,II,II,Parallel,Active,5000 Block 22 ST SW,Residential Street,N,0800-1700 MON-FRI,,,Permit Required,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.115028 51.0098564, -114.1150276 51.0097922, -114.1150267 51.009688, -114.1150262 51.0095999, -114.1150259 51.0095146, -114.1150244 51.0088251))",2566ebfa-f069-4a8b-927d-118bd00c65a7
R5554,JJ,JJ,Parallel,Active,1900 Block 1 ST NE,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NE,"MULTILINESTRING ((-114.059865 51.0691614, -114.0598649 51.0691048, -114.0598652 51.0690576, -114.0598648 51.0689576, -114.0598646 51.0689298, -114.0598622 51.0689138, -114.0598576 51.0689028, -114.0598506 51.0688921))",8a9c36eb-6395-47b8-8572-2dc1d145bc73
R5588,JJ,JJ,Parallel,Active,2200 Block 1 ST NE,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NE,"MULTILINESTRING ((-114.0598732 51.0719469, -114.059873 51.0717476, -114.059873 51.071717, -114.0598722 51.0716692))",8f2a50cd-bd8e-47f8-b803-e443c5509b93
R5736,GGR,GGR,Parallel,Active,00 Block JOHNSON PL SW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SW,"MULTILINESTRING ((-114.1256173 51.0043558, -114.125617 51.0034871, -114.1256172 51.0034097, -114.1256172 51.0033464, -114.1256214 51.0032761, -114.1256352 51.0032009, -114.125659 51.0031223))",9e41371d-5944-4825-a993-bb3bb40003e7
R5746,FHT,FHT,Parallel,Active,800 Block 47 ST SE,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,SE,"MULTILINESTRING ((-113.9655709 51.0468502, -113.965592 51.0468376, -113.9656091 51.0468227, -113.9656188 51.0468054, -113.9656214 51.0467912, -113.9656219 51.0467833, -113.9656221 51.0467687, -113.965622 51.0466356, -113.9656195 51.0463753, -113.9656185 51.0460398, -113.9656177 51.0458024, -113.9656188 51.045603, -113.9656178 51.0453522, -113.9656179 51.0453443, -113.9656167 51.0453358, -113.9656159 51.0453305, -113.9656099 51.0453106, -113.9655975 51.0452919, -113.9655788 51.0452732))",79f979ff-4153-4991-b83a-c6f08b106761
R5793,E,E,Parallel,Active,00 Block CRESTON CR NW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1185985 51.077409, -114.1185955 51.0773978, -114.1185873 51.0773858, -114.1185502 51.0773529, -114.1184953 51.0772986, -114.1184466 51.0772414, -114.1181019 51.0768027))",77646b11-4f26-4c81-9c99-5535200050b7
R5822,E,E,Parallel,Active,2600 Block CHARLEBOIS DR NW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.120755 51.084945, -114.1207779 51.0849296, -114.1208586 51.0848732, -114.1209527 51.0848082, -114.1210138 51.0847662))",a87a5dff-1201-47d5-b81e-573170991383
R5830,E,E,Parallel,Active,2600 Block CHARLEBOIS DR NW,Residential Street,N,0800-1700 MON-FRI,,,120,0800-1700 MON-FRI,FR,NW,"MULTILINESTRING ((-114.1219248 51.0841399, -114.1219393 51.08413, -114.1219539 51.0841197, -114.1219685 51.0841094, -114.121983 51.0840991, -114.1219975 51.0840887, -114.1220121 51.0840785, -114.122027 51.084068, -114.1220419 51.0840577, -114.1220569 51.0840473, -114.1220718 51.0840369, -114.1220868 51.0840265, -114.1220971 51.0840196, -114.1221075 51.0840127, -114.122118 51.0840058, -114.1221285 51.083999, -114.1221389 51.0839921, -114.122149 51.0839852, -114.1221588 51.0839783, -114.1221683 51.0839712, -114.1221773 51.0839635, -114.122186 51.0839552, -114.1221928 51.0839468, -114.1221972 51.0839382, -114.1221999 51.0839295, -114.1222013 51.0839207, -114.1222018 51.0839119, -114.1222017 51.0839049, -114.122201 51.0838978, -114.1221997 51.0838907, -114.1221977 51.0838837))",4785ffbc-8b1f-437c-bf79-6adb96721b87
R5956,AA,AA,Parallel,Active,00 Block CLARENDON RD NW,Residential Street,N,0800-1700 MON-FRI,,,Permit Required,0800-1700 SCHOOL DAYS,FR,NW,"MULTILINESTRING ((-114.0996901 51.0870318, -114.0997083 51.0870171, -114.0997224 51.086998, -114.0997283 51.0869802, -114.0997288 51.0869573, -114.0997292 51.0869322, -114.0997278 51.0868613, -114.0997286 51.0867563, -114.0997285 51.0866646, -114.0997283 51.0865753, -114.0997295 51.0864614, -114.0997293 51.0863671, -114.0997295 51.0862818, -114.0997312 51.0861989, -114.0997312 51.0861174, -114.0997316 51.086011, -114.0997316 51.0859441, -114.0997367 51.0858993, -114.0997522 51.0858648))",d6cb5393-2c42-4397-aa03-c2ca8211a37b
