PARKING_ZONE,ZONE_CAP,SEG_CAP,ZONE_TYPE,STALL_TYPE,ADDRESS_DESC,BLOCK_SIDE,PERMIT_ZONE,STATUS,PRICE_ZONE,ENFORCEABLE_TIME,MAX_TIME,PARKING_RESTRICT_TYPE,PARKING_RESTRICT_TIME,NO_PARKING,NO_STOPPING,line,BRZ_NAME
2206,,,Parking Zone,Parallel,"8 Av SW ,  Fr 5 St SW To 6 St SW",N,2206,Active,4d,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0748758 51.0459229, -114.0746194 51.0459156))",Downtown
2445,,,Parking Zone,Parallel,"6 St SW ,  Fr 8 Av SW To 9 Av SW",E,2445,Active,4d,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0762844 51.0452714, -114.0762874 51.0452331, -114.0762953 51.045099))",Downtown
2442,,,Parking Zone,Parallel,"9 Av SW ,  Fr 5 St SW To 6 St SW",N,2442,Active,4d,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0748002 51.04501, -114.0746848 51.0450068))",Downtown
1733,,,Parking Zone,Parallel,"5 Av SW ,  Fr 4 St SW To 5 St SW",S,1733,Active,4b,0910-1520 MON-FRI,30,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0728895 51.0485469, -114.0729064 51.0485474, -114.072982 51.0485496, -114.0730576 51.0485518, -114.0731332 51.048554, -114.0731349 51.048554, -114.0731366 51.048554, -114.0731383 51.0485539, -114.07314 51.0485539, -114.0731417 51.0485539, -114.0731437 51.0485538, -114.0731458 51.0485538, -114.0731478 51.0485537, -114.0731499 51.0485536, -114.0731519 51.0485535, -114.0731541 51.0485533, -114.0731564 51.048553, -114.0731586 51.0485527, -114.0731608 51.0485524, -114.073163 51.048552, -114.0731657 51.0485515, -114.0731683 51.048551, -114.0731709 51.0485504, -114.0731734 51.0485498, -114.073176 51.0485492, -114.0731787 51.0485485, -114.0731813 51.0485477, -114.0731839 51.0485469, -114.0731865 51.0485461, -114.0731892 51.0485454, -114.0731913 51.048545, -114.0731934 51.0485446, -114.0731955 51.0485444, -114.0731977 51.0485441, -114.0731998 51.0485439, -114.073276 51.0485449, -114.0732984 51.0485456, -114.0733207 51.0485463, -114.073343 51.0485471, -114.0733653 51.0485478, -114.0733876 51.0485485, -114.0734031 51.048549, -114.0734099 51.0485492))",Downtown
2584,,,Parking Zone,Parallel,"8 Av SE ,  Fr 5 St SE To 6 St SE",S,2584,Active,1,0910-1750 MON-FRI,540,none,none,,,"MULTILINESTRING ((-114.0486853 51.0450891, -114.0486975 51.0450874, -114.0504238 51.0451369, -114.0504294 51.0451374, -114.050437 51.0451394, -114.0504436 51.0451427))",
2340,,,Parking Zone,Parallel,"8 Av SE ,  Fr 4 St SE To 5 St SE",N,2340,Active,1,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0522752 51.0452801, -114.0510605 51.0452453, -114.0510536 51.0452445, -114.0510464 51.0452424, -114.0510399 51.0452389, -114.0510328 51.045234))",
2994,,,Parking Zone,Parallel,"10 Av SW ,  Fr 12 St SW To 13 St SW",S,2994,Active,8,0910-1750 MON-FRI,180,none,none,,,"MULTILINESTRING ((-114.0927657 51.0441021, -114.09292 51.0441062, -114.0933711 51.0441198, -114.0935292 51.0441241))",
4572,,,Parking Zone,Parallel,"17 Av SW ,  Fr 11 St SW To 12 St SW",S,4572,Active,11,0910-1750 MON-SAT,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0905208 51.0377672, -114.0910084 51.0377671))",Uptown 17
4654,,,Parking Zone,Parallel,"17 Av SW ,  Fr 2 St SW To 4 St SW",S,4652,Active,13,0910-1750 MON-SAT,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0705295 51.0377736, -114.0709273 51.0377732))",
1657,,,Loading Zone,Parallel,"10 St SW ,  Fr 5 Av SW To 5 Av SW",W,1657,Active,7,"0910-1520 MON-FRI, 0910-1750 SAT",20,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0860879 51.0482373, -114.0860798 51.0483558))",Downtown
4677,,,Loading Zone,Parallel,"17 Av SW ,  Fr Centre St S To 1 St SW",S,4677,Active,14,0910-1750 MON-SAT,20,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0651787 51.0377737, -114.0652942 51.0377738))",
2413,,,Parking Zone,Parallel,"9 Av SW ,  Fr 7 St SW To 8 St SW",N,2413,Active,4d,"0840-1750 MON-FRI, 0910-1750 SAT",540,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0796107 51.0451199, -114.0790694 51.0451045))",Downtown
1536,,,Parking Zone,Parallel,"5 Av SW ,  Fr 4 ST SW To 5 ST SW",N,1536,Active,4b,0910-1520 MON-FRI,120,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0734055 51.0487579, -114.073256 51.0487529, -114.0727273 51.0487393))",Downtown
2494,,,Loading Zone,Parallel,"1 St SW ,  Fr 8 Av SW To 9 Av SW",W,2494,Active,4c,"0840-1520 MON-FRI, 0910-1750 SAT",20,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0655884 51.0454069, -114.065582 51.0454967))",Downtown
2530,,,Loading Zone,Parallel,"Centre St S ,  Fr 8 Av SE To 9 Av SE",E,2530,Active,4c,"0710-1750 MON-FRI, 0910-1750 SAT",20,none,none,,,"MULTILINESTRING ((-114.0629272 51.0451248, -114.0629456 51.0448698))",Downtown
2257,,,Access Calgary Loading Zone,Parallel,"1 St SW ,  Fr 7 Av SW To 8 Av SW",W,2257,Active,4c,"0710-1750 MON-FRI, 0910-1750 SAT",10,none,none,,,"MULTILINESTRING ((-114.0655381 51.046299, -114.0655305 51.0464068))",Downtown
2654,,,Loading Zone,Parallel,"9 Av SE ,  Fr 1 St SE To Centre St S",S,2654,Active,4c,"0710-1750 MON-FRI, 0910-1750 SAT",20,none,none,,,"MULTILINESTRING ((-114.0615943 51.0444603, -114.0616088 51.0444573, -114.0616262 51.044455, -114.0616604 51.0444534, -114.0618539 51.0444588))",Downtown
1398,,,Parking Zone,Parallel,"4 Av SW ,  Fr Centre St S To 1 St SW",N,1398,Active,4a,"0840-1520 MON-FRI, 0910-1750 SAT",120,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0644284 51.0494495, -114.0634752 51.0494223))",Downtown
1382,,,Parking Zone,Parallel,"4 Av SW ,  Fr 1 St SW To 2 St SW",N,1382,Active,4a,"0840-1520 MON-FRI, 0910-1750 SAT",120,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0671368 51.0495286, -114.0668233 51.0495196))",Downtown
1573,,,Parking Zone,Parallel,"4 Av SW ,  Fr 1 St SW To 2 St SW",S,1573,Active,4a,"0840-1520 MON-FRI, 0910-1750 SAT",120,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0655208 51.0493392, -114.065951 51.0493515))",Downtown
1578,,,Parking Zone,Parallel,"5 Av SW ,  Fr 1 St SW To 2 St SW",N,1578,Active,4a,"0840-1520 MON-FRI, 0910-1750 SAT",120,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0661237 51.0485499, -114.0655652 51.0485339))",Downtown
1583,,,Parking Zone,Parallel,"2 St SW ,  Fr 4 Av SW To 5 Av SW",E,1583,Active,4a,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0675756 51.0492268, -114.0676146 51.0486817))",Downtown
1582,,,Taxi Zone,Parallel,"2 St SW ,  Fr 4 Av SW To 5 Av SW",E,1582,Active,4a,"0710-1750 MON-FRI, 0910-1750 SAT",1440,none,none,,,"MULTILINESTRING ((-114.0675692 51.0493165, -114.0675756 51.0492268))",Downtown
1578,,,Parking Zone,Parallel,"5 Av SW ,  Fr 1 St SW To 2 St SW",N,1578,Active,4a,"0840-1520 MON-FRI, 0910-1750 SAT",120,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0674463 51.0485878, -114.0665046 51.0485608))",Downtown
