PARKING_ZONE,ZONE_CAP,SEG_CAP,ZONE_TYPE,STALL_TYPE,ADDRESS_DESC,BLOCK_SIDE,PERMIT_ZONE,STATUS,PRICE_ZONE,ENFORCEABLE_TIME,MAX_TIME,PARKING_RESTRICT_TYPE,PARKING_RESTRICT_TIME,NO_PARKING,NO_STOPPING,line,BRZ_NAME
3329,,,Parking Zone,Parallel,"12 Av SW ,  Fr 8 St SW To 9 St SW",N,3329,Active,9,0910-1750 MON-FRI,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.083759 51.0420508, -114.0834598 51.0420425))",Beltline
1448,,,Parking Zone,Parallel,"4 Av SW ,  Fr 10 St SW To 11 St SW",S,1448,Active,7,0910-1750 MON-FRI,180,none,none,,,"MULTILINESTRING ((-114.086198 51.049459, -114.0862108 51.0494528, -114.0862253 51.0494471, -114.086232 51.0494448, -114.0862392 51.0494426, -114.0862483 51.0494436, -114.0862554 51.049443, -114.0869464 51.0492233, -114.0869629 51.0492208))",Downtown
2891,,,Parking Zone,Parallel,"10 Av SW ,  Fr 12 St SW To 13 St SW",N,2891,Active,8,0910-1520 MON-FRI,120,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0924862 51.0442037, -114.0923087 51.0441987))",
2891,,,Parking Zone,Parallel,"10 Av SW ,  Fr 12 St SW To 13 St SW",N,2891,Active,8,0910-1520 MON-FRI,120,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.092106 51.044193, -114.0920051 51.0441902))",
2891,,,Parking Zone,Parallel,"10 Av SW ,  Fr 12 St SW To 13 St SW",N,2891,Active,8,0910-1520 MON-FRI,120,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0918706 51.0441864, -114.0916854 51.0441812))",
5299,,,Parking Zone,Parallel,"9 Av SE ,  Fr 11 St SE To 12 St SE",N,5299,Active,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0362994 51.0420818, -114.0348916 51.0415344))",Inglewood
5310,,,Parking Zone,Parallel,"9 Av SE ,  Fr 12 St SE To 13 St SE",N,5310,Active,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.033877 51.0411409, -114.0329668 51.0407869))",Inglewood
5310,,,Parking Zone,Parallel,"9 Av SE ,  Fr 12 St SE To 13 St SE",N,5310,Active,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.032318 51.040536, -114.0319897 51.0404091))",Inglewood
5310,,,Parking Zone,Parallel,"9 Av SE ,  Fr 12 St SE To 13 St SE",N,5310,Active,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0328054 51.0407244, -114.0324772 51.0405975))",Inglewood
4642,,,Parking Zone,Parallel,"4 St SW ,  Fr 17 Av SW To 18 Av SW",W,4642,Active,13,"0910-1520 MON-FRI, 0910-1750 SAT",60,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0716028 51.0370538, -114.0716024 51.0373271))",4 Street SW
2399,,,Parking Zone,Parallel,"9 Av SW ,  Fr 8 St SW To 9 St SW",N,2399,Active,6,0910-1750 MON-FRI,120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0834139 51.0452427, -114.0833998 51.0452422, -114.08323 51.0452378, -114.0828526 51.0452271))",Downtown
2385,,,Parking Zone,Parallel,"9 Av SW ,  Fr 9 St SW To 10 St SW",N,2385,Active,7,0910-1750 MON-FRI,120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0858498 51.0453156, -114.0851717 51.045297))",Downtown
2399,,,Parking Zone,Parallel,"9 Av SW ,  Fr 8 St SW To 9 St SW",N,2399,Active,6,0910-1750 MON-FRI,120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0825899 51.0452197, -114.0821062 51.0452067))",Downtown
2927,,,Parking Zone,Parallel,"10 Av SW ,  Fr 2 St SW To 4 St SW",N,2927,Active,12,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0686925 51.0435345, -114.0684973 51.0435293))",Beltline
2927,,,Parking Zone,Parallel,"10 Av SW ,  Fr 2 St SW To 4 St SW",N,2927,Active,12,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0709011 51.0435996, -114.0700038 51.0435724))",Beltline
3584,,,Parking Zone,Parallel,"12 Av SW ,  Fr 8 St SW To 9 St SW",S,3584,Active,9,0910-1750 MON-FRI,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0831301 51.0419251, -114.0837284 51.0419426))",
3584,,,Parking Zone,Parallel,"12 Av SW ,  Fr 8 St SW To 9 St SW",S,3584,Active,9,0910-1750 MON-FRI,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0822181 51.0419, -114.0822815 51.0419015, -114.0824386 51.0419059, -114.0825764 51.0419096, -114.0827041 51.0419134, -114.0828253 51.0419169, -114.0828876 51.0419186))",
3600,,,Parking Zone,Parallel,"12 Av SW ,  Fr 7 St SW To 8 St SW",S,3600,Active,9,0910-1750 MON-FRI,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0793514 51.0418193, -114.0794597 51.0418222, -114.0797535 51.0418301, -114.0801426 51.0418413, -114.0802958 51.0418456, -114.0804328 51.0418497, -114.080538 51.0418524, -114.0805628 51.0418531, -114.0805876 51.0418539, -114.0806124 51.0418546, -114.0806372 51.0418554, -114.0806478 51.0418557))",Beltline
3626,,,Parking Zone,Parallel,"12 Av SW ,  Fr 5 St SW To 6 St SW",S,3626,Active,9,0910-1750 MON-FRI,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0744186 51.0416693, -114.0744379 51.0416698, -114.0759902 51.0417138))",
5311,,,Loading Zone,Parallel,"9 Av SE ,  Fr 12 St SE To 13 St SE",N,5311,Active,20,0910-1520 MON-SAT,20,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0340827 51.0412232, -114.0340637 51.0412136, -114.033877 51.0411409))",Inglewood
5383,,,Parking Zone,Parallel,"9 Av SE , Fr 9 St SE To 10 St SE",E,5383,Active,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0390562 51.0428238, -114.0380991 51.0425894))",Inglewood
5383,,,Parking Zone,Parallel,"9 Av SE , Fr 9 St SE To 10 St SE",E,5383,Active,20,"1110-1320 MON-FRI, 0910-1750 SAT",120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.037797 51.0425184, -114.0372362 51.0423858))",Inglewood
1524,,,Taxi Zone,Parallel,"5 Av SW ,  Fr 5 St SW To 6 St SW",N,1524,Active,4b,"0840-1520 MON-FRI, 0001-2359 SAT-SUN",1440,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0741603 51.0487843, -114.0739523 51.0487781))",Downtown
2084,,,Access Calgary Loading Zone,Parallel,"MacLeod Tr SE ,  Fr 6 Av SE To 7 Av SE",E,2084,Active,2,0910-1750 MON-SAT,10,none,none,,,"MULTILINESTRING ((-114.0578556 51.0469953, -114.0578621 51.0469535, -114.0578631 51.0469468, -114.0578666 51.0469341, -114.057873 51.0469218, -114.0578822 51.0469103, -114.0578878 51.0469043))",Downtown
2763,,,Parking Zone,Parallel,"2 Av NW ,  Fr 9A St NW To 10 St NW",N,2763,Active,18,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0839997 51.054604, -114.0834191 51.054955))",Kensington / Louise Crossing
1599,,,Taxi Zone,Parallel,"4 Av SE ,  Fr Centre St S To 1 St SE",S,1599,Active,4a,"0840-1520 MON-FRI, 0001-2359 SAT-SUN",1440,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0611911 51.0492103, -114.0612769 51.0492131))",Downtown
3113,,,Parking Zone,Parallel,"11 Av SW ,  Fr 4 St Sw To 5 St SW",N,3113,Active,12,0910-1520 MON-FRI,60,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0734798 51.0427323, -114.0734938 51.0427368, -114.0735088 51.0427397, -114.0735244 51.042741, -114.073865 51.0427504))",Beltline
5303,,,Parking Zone,Parallel,"11 St SE ,  Fr 8 Av SE To 9 Av SE",W,5303,Active,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0368503 51.0423522, -114.0368505 51.0425359, -114.036843 51.0425752, -114.0368327 51.042603))",Inglewood
1384,,,Taxi Zone,Parallel,"4 Av SW ,  Fr 1 St SW To 2 St SW",N,1384,Active,4a,"0840-1520 MON-FRI, 0001-2359 SAT-SUN",1440,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0663153 51.0494998, -114.0663086 51.0494995, -114.0660589 51.0494924))",Downtown
1390,,,Loading Zone,Parallel,"3 Av SW ,  Fr Centre St S To 1 St SW",S,1390,Active,4a,"0710-1750 MON-FRI, 0910-1750 SAT",20,none,none,,,"MULTILINESTRING ((-114.0630112 51.0502318, -114.0630967 51.0502343))",Downtown
1779,,,Taxi Zone,Parallel,"1 St SW ,  Fr 5 Av SW To 6 Av SW",W,1779,Active,4a,"0840-1520 MON-FRI, 0001-2359 SAT-SUN",1440,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.065412 51.0481959, -114.0654035 51.0483144))",Downtown
3421,,,Taxi Zone,Parallel,"11 Av SW ,  Fr 1 St SW To Centre St S",S,3421,Active,14,"0910-1750 MON-FRI, 0910-1750 SAT",1440,none,none,,,"MULTILINESTRING ((-114.0649015 51.0423478, -114.0649879 51.0423503))",Victoria Park
1744,,,Loading Zone,Parallel,"5 St SW ,  Fr 5 Av SW To 6 Av SW",E,1744,Active,4b,0910-1750 MON-FRI,20,none,none,,,"MULTILINESTRING ((-114.0736145 51.0485279, -114.0736195 51.0484561))",Downtown
5402,,,Parking Zone,Parallel,"10 Av SE ,  Fr 10 St SE To 11 St SE",S,5402,Active,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0370069 51.0412431, -114.0373152 51.0413178, -114.0378178 51.0414364, -114.0381948 51.0415273))",Inglewood
2271,,,Parking Zone,Parallel,"Centre St S ,  Fr 7 Av SW To 8 Av SW",W,2271,Active,4c,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.063111 51.0456945, -114.0630895 51.0459728))",Downtown
1020,,,Parking Zone,Parallel,"2 St SW ,  Fr Riverfront Av SW To Barclay Pr SW",E,1020,Active,5,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0674171 51.053287, -114.0674169 51.053065))",Chinatown
1020,,,Parking Zone,Parallel,"2 St SW ,  Fr Riverfront Av SW To Bow River",E,1020,Active,5,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0674165 51.0527028, -114.0674162 51.0524654, -114.0674166 51.0524601, -114.0674184 51.0524527, -114.0674213 51.0524463))",Chinatown
1021,,,Loading Zone,Parallel,"2 St SW ,  Fr Barclay Pr SW To Barclay Wk SW",E,1021,Active,5,0910-1750 MON-SAT,20,none,none,,,"MULTILINESTRING ((-114.0674102 51.0535343, -114.0674101 51.0534372))",Chinatown
4666,,,Parking Zone,Parallel,"17 Av SW ,  Fr 1 St SW To 2 St SW",S,4666,Active,13,0910-1750 MON-SAT,180,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0677659 51.0377687, -114.0682689 51.0377686))",
2355,,,Handicapped Zone,Parallel,"8 Av SE ,  Fr 5 St SE To 6 St SE",N,2355,Active,1,0910-1750 MON-FRI,180,none,none,,,"MULTILINESTRING ((-114.0502224 51.045221, -114.0499318 51.0452127))",
5370,,,Parking Zone,Parallel,"8 Av NW ,  Fr 10 St NW To 12 St NW",N,5370,Active,23,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0897768 51.0596401, -114.0888158 51.0596421))",
1870,,,Parking Zone,Parallel,"4 St SE ,  Fr 5 Av SE To 6 Av SE",E,1870,Active,1,0910-1750 MON-FRI,240,none,none,,,"MULTILINESTRING ((-114.0528939 51.047697, -114.0528976 51.0476607, -114.0528986 51.0476483, -114.0529249 51.0472839))",
5370,,,Parking Zone,Perpendicular,"8 Av NW ,  Fr 10 St NW To 12 St NW",S,5370,Active,23,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0887853 51.0595175, -114.0899833 51.059508))",
5371,,,Handicapped Zone,Angle,"8 Av NW ,  Fr 10 St NW To 12 St NW",S,5371,Active,23,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0899901 51.059508, -114.0900154 51.059508))",
5370,,,Parking Zone,Perpendicular,"8 Av NW ,  Fr 10 St NW To 12 St NW",N,5370,Active,23,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0908751 51.059638, -114.0907601 51.0596389))",
1515,,,Parking Zone,Parallel,"4 Av SW ,  Fr 5 St SW To 6 St SW",S,1515,Active,4b,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0757121 51.0496415, -114.0758532 51.0496454))",Downtown
5370,,,Parking Zone,Perpendicular,"8 Av NW ,  Fr 10 St NW To 12 St NW",N,5370,Active,23,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0907089 51.0596373, -114.0902967 51.0596393))",
3319,,,Parking Zone,Parallel,"10 St SW ,  Fr 11 Av SW To 12 Av SW",E,3319,Active,8,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0863207 51.0428188, -114.0863213 51.0428109, -114.0863289 51.0427209, -114.0863335 51.0426582, -114.0863354 51.0426106, -114.0863364 51.0425996))",
5370,,,Parking Zone,Perpendicular,"8 Av NW ,  Fr 10 St NW To 12 St NW",S,5370,Active,23,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0908347 51.0595056, -114.091468 51.0595035))",
1745,,,Parking Zone,Parallel,"5 St SW ,  Fr 5 Av SW To 6 Av SW",E,1745,Active,4b,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0736471 51.0480931, -114.0736615 51.0479135))",Downtown
2108,,,Parking Zone,Parallel,"4 St SE ,  Fr 6 Av SE To 7 Av SE",E,2108,Active,1,0910-1750 MON-FRI,240,none,none,,,"MULTILINESTRING ((-114.0529473 51.0469746, -114.0529496 51.0469423, -114.0529605 51.0467912, -114.0529607 51.0467882, -114.052965 51.0467501))",
1652,,,Parking Zone,Parallel,"5 Av SW ,  Fr 10 St SW To 11 St SW",S,1652,Active,7,0910-1750 MON-SAT,180,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0861495 51.0489888, -114.0867136 51.0490039, -114.0871665 51.0490173, -114.087258 51.0490185, -114.0872677 51.0490193, -114.0872771 51.0490209, -114.0872861 51.0490232, -114.0872945 51.0490263, -114.0872969 51.0490273, -114.0872977 51.0490276))",Downtown
5566,,,Parking Zone,Parallel,"49 Av SW,  Fr   6 St SW To ELBOW Dr SW",S,5566,Active,25,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0806692 51.0095532, -114.0808001 51.009553, -114.0810924 51.0095525, -114.0811306 51.0095527))",
4666,,,Parking Zone,Parallel,"17 Av SW ,  Fr 1 St SW To 2 St SW",S,4666,Active,13,0910-1750 MON-SAT,180,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0671807 51.0377686, -114.067359 51.0377686))",
4666,,,Parking Zone,Parallel,"17 Av SW ,  Fr 1 St SW To 2 St SW",S,4666,Active,13,0910-1750 MON-SAT,180,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0662572 51.0377709, -114.0669059 51.037769))",
3136,,,Parking Zone,Parallel,"10 Av SW ,  Fr 1 St Sw To 2 St Sw",S,3136,Active,12,0910-1750 MON-FRI,120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0659926 51.0433437, -114.0661992 51.0433496))",Victoria Park
4371,,,Parking Zone,Parallel,"17 Av SW ,  Fr 12 St SW To 14 St SW",N,4371,Active,11,"0910-1520 MON-FRI, 0910-1750 SAT",120,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0936336 51.0378778, -114.0923418 51.0378792))",Uptown 17
4607,,,Parking Zone,Parallel,"17 Av SW ,  Fr 8 St SW To 9 St SW",S,4607,Active,11,0910-1750 MON-SAT,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.083674 51.0377693, -114.0838522 51.0377693, -114.0840777 51.0377692))",Uptown 17
4571,,,Handicapped Zone,Parallel,"17 Av SW ,  Fr 11 St SW To 12 St SW",S,4571,Active,11,0910-1750 MON-SAT,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0910084 51.0377671, -114.0911353 51.037767))",Uptown 17
4572,,,Parking Zone,Parallel,"17 Av SW ,  Fr 11 St SW To 12 St SW",S,4572,Active,11,0910-1750 MON-SAT,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0911353 51.037767, -114.0913994 51.037767))",Uptown 17
2931,,,Parking Zone,Parallel,"10 Av SW ,  Fr 1 St SW To 2 St SW",N,2931,Active,12,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0678412 51.0435062, -114.0659944 51.0434536))",Victoria Park
2467,,,Parking Zone,Parallel,"3 St SW ,  Fr 8 Av SW To 9 Av SW",W,2467,Active,4c,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0704744 51.0454238, -114.0704729 51.0454537, -114.0704707 51.0454894))",Downtown
1603,,,Parking Zone,Parallel,"1 St SE ,  Fr 3 Av SE To 4 Av SE",W,1604,Active,4a,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0604815 51.0489149, -114.0604741 51.0490189, -114.0604714 51.0490283, -114.060468 51.0490329))",Downtown
1211,,,Parking Zone,Parallel,"4 St SW ,  Fr 2 Av SW To 3 Av SW",E,1211,Active,5,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0714031 51.0509481, -114.0714031 51.0508555))",Downtown
1225,,,Parking Zone,Parallel,"3 St SW ,  Fr 2 Av SW To 3 Av SW",E,1225,Active,5,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0700019 51.051078, -114.0700022 51.0510291, -114.0699995 51.0509794, -114.0699954 51.050941, -114.0699942 51.0509325))",Downtown
6006,,,Motorcycle Zone,Parallel,"3 St SW ,  Fr 8 Av SW To 9 Av SW",W,6006,Inactive,4c,0710-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0704744 51.0454238, -114.0704729 51.0454537, -114.0704707 51.0454894))",Downtown
6002,,,Motorcycle Zone,Parallel,"3 St SW ,  Fr 2 Av SW To 3 Av SW",E,6002,Inactive,5,0710-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0700019 51.051078, -114.0700022 51.0510291, -114.0699995 51.0509794, -114.0699954 51.050941, -114.0699942 51.0509325))",Downtown
6004,,,Motorcycle Zone,Parallel,"1 St SE ,  Fr 3 Av SE To 4 Av SE",W,6004,Inactive,4a,0710-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0604815 51.0489149, -114.0604741 51.0490189, -114.0604714 51.0490283, -114.060468 51.0490329))",Downtown
1517,,,Parking Zone,Parallel,"4 Av SW ,  Fr 5 St SW To 6 St SW",S,1517,Active,4b,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0741134 51.0495942, -114.0743004 51.0495996))",Downtown
6001,,,Motorcycle Zone,Parallel,"4 St SW ,  Fr 2 Av SW To 3 Av SW",E,6001,Inactive,5,0710-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0714031 51.0509481, -114.0714031 51.0508555))",Downtown
6003,,,Motorcycle Zone,Parallel,"4 Av SW ,  Fr 5 St SW To 6 St SW",S,6003,Inactive,4b,0710-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0741134 51.0495942, -114.0743004 51.0495996))",Downtown
2412,,,Parking Zone,Parallel,"7 St SW ,  Fr 8 Av SW To 9 Av SW",W,2412,Active,4d,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0789162 51.045178, -114.0788977 51.0454564))",Downtown
2368,,,Parking Zone,Parallel,"10 St SW ,  Fr 8 Av SW To 9 Av SW",W,2368,Active,7,0910-1750 MON-FRI,180,none,none,,,"MULTILINESTRING ((-114.0862765 51.0458499, -114.0862725 51.0459033, -114.0862618 51.046053, -114.0862578 51.0461085))",Downtown
5370,,,Parking Zone,Perpendicular,"8 Av NW ,  Fr 10 St NW To 12 St NW",S,5370,Active,23,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0901312 51.0595079, -114.0907973 51.0595057))",
1162,,,Parking Zone,Angle,"6 St SW ,  Fr 2 Av SW To 3 Av SW",W,1162,Active,5,0910-1750 MON-SAT,180,none,none,,,"MULTILINESTRING ((-114.0760752 51.0507832, -114.0760786 51.0508383, -114.0760872 51.0508686, -114.0760717 51.0510937))",Downtown
5304,,,Parking Zone,Parallel,"11 St SE ,  Fr 8 Av SE To 9 Av SE",E,5304,Active,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0366705 51.0423991, -114.0366726 51.0422914, -114.0366726 51.0422858))",Inglewood
1516,,,Loading Zone,Parallel,"4 Av SW ,  Fr 5 St SW To 6 St SW",S,1516,Active,4b,0910-1750 MON-SAT,20,none,none,,,"MULTILINESTRING ((-114.074842 51.0496162, -114.0749445 51.0496192))",Downtown
1397,,,Taxi Zone,Parallel,"4 Av SW ,  Fr Centre St S To 1 St SW",N,1397,Active,2,"0840-1520 MON-FRI, 0001-2359 SAT-SUN",1440,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0600511 51.045533, -114.0598574 51.0455274))",Downtown
5295,,,Parking Zone,Parallel,"8 Av SE ,  Fr 11 St SE To 12 St SE",N,5295,Active,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0344841 51.042412, -114.0338794 51.0421773))",Inglewood
2935,,,Loading Zone,Parallel,"10 Av SW ,  Fr Centre St S To 1 St SW",N,2935,Active,14,0910-1750 MON-FRI,20,none,none,,,"MULTILINESTRING ((-114.0652508 51.0434333, -114.0650257 51.0434269))",Victoria Park
3162,,,Parking Zone,Parallel,"10 Av SE ,  Fr Centre St S To 1 St SE",S,3162,Active,14,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0616925 51.0432172, -114.0620477 51.0432273))",
1538,,,Taxi Zone,Parallel,"5 Av SW ,  Fr 4 ST SW To 5 ST SW",N,1538,Active,4b,"0830-1530 MON-FRI, 0001-2359 SAT-SUN",1440,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0725478 51.0487344, -114.0723326 51.0487284))",Downtown
5393,,,Parking Zone,Parallel,"10 Av SE ,  Fr 10 St SE To 11 St SE",N,5393,Active,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0381401 51.0416178, -114.0376655 51.0415045, -114.0369798 51.0413386))",Inglewood
3162,,,Parking Zone,Parallel,"10 Av SE ,  Fr Centre St S To 1 St SE",S,3162,Active,14,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0624027 51.0432374, -114.0629726 51.0432536))",
5304,,,Parking Zone,Parallel,"11 St SE ,  Fr 8 Av SE To 9 Av SE",E,5304,Active,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0366026 51.0426324, -114.0366699 51.0425636))",Inglewood
3422,,,Loading Zone,Parallel,"11 Av SW ,  Fr 1 St SW To Centre St S",S,3422,Active,14,0910-1750 MON-SAT,20,none,none,,,"MULTILINESTRING ((-114.0647071 51.0423422, -114.0648952 51.0423476))",Victoria Park
2034,,,Parking Zone,Parallel,"Centre St S ,  Fr 6 Av SE To 7 Av SE",W,2034,Active,4a,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.063 51.047012, -114.062975 51.0472785))",Downtown
1566,,,Taxi Zone,Parallel,"5 Av SW ,  Fr 2 St Sw To 3 St SW",N,1566,Active,4a,"0840-1520 MON-FRI, 0001-2359 SAT-SUN",1440,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0683885 51.0486149, -114.0681777 51.0486089))",Downtown
1761,,,Taxi Zone,Parallel,"5 Av SW ,  Fr 2 St SW To 3 ST SW",S,1761,Active,4a,"0840-1520 MON-FRI, 0001-2359 SAT-SUN",1440,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0689941 51.0484888, -114.0690687 51.0484925, -114.069145 51.0484947))",Downtown
2508,,,Parking Zone,Parallel,"Centre St S ,  Fr 8 Av SW To 9 Av SW",W,2508,Active,4c,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0631468 51.0451244, -114.0631253 51.0454244))",Downtown
1572,,,Taxi Zone,Parallel,"4 Av SW ,  Fr 1 St SW To 2 St SW",S,1572,Active,4a,"0840-1520 MON-FRI, 0001-2359 SAT-SUN",1440,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0670185 51.049382, -114.067198 51.0493872))",Downtown
5400,,,Parking Zone,Parallel,"10 St SE ,  Fr 9 Av SE To 10 Av SE",W,5400,Active,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.038277 51.0418689, -114.0379895 51.0423309))",Inglewood
3420,,,Parking Zone,Parallel,"11 Av SW ,  Fr 1 St SW To Centre St S",S,3420,Active,14,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0649897 51.0423503, -114.065484 51.0423647))",Victoria Park
2271,,,Parking Zone,Parallel,"Centre St S ,  Fr 7 Av SW To 8 Av SW",W,2271,Active,4c,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0630817 51.0460736, -114.0630619 51.0463293, -114.0630601 51.0463552, -114.06306 51.0463574))",Downtown
1707,,,Taxi Zone,Parallel,"5 Av SW ,  Fr 6 St SW To 7 St SW",S,1707,Active,4b,"0840-1520 MON-FRI, 0001-2359 SAT-SUN",1440,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0771642 51.0487224, -114.0772967 51.0487262))",Downtown
5390,,,Parking Zone,Parallel,"11 St SE ,  Fr 9 Av SE To 10 Av SE",W,5390,Active,20,"1140-1520 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0368607 51.0414025, -114.03686 51.0416982))",Inglewood
1316,,,Parking Zone,Parallel,"7 St SW ,  Fr 3 Av SW To 4 Av SW",E,1316,Active,6,0910-1750 MON-FRI,180,none,none,,,"MULTILINESTRING ((-114.0784161 51.0505486, -114.0784244 51.0504201))",Downtown
4427,,,Parking Zone,Parallel,"17 Av SW ,  Fr 8 St SW To 9 St SW",N,4427,Active,11,0910-1520 MON-SAT,120,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0837678 51.0378809, -114.0825715 51.0378812))",Uptown 17
5370,,,Parking Zone,Parallel,"8 Av NW ,  Fr 10 St NW To 12 St NW",N,5370,Active,23,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0913837 51.0596368, -114.0909751 51.0596376))",
