DESCRIPTION,PARKING_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,GLOBALID
SCH549,NA,Parallel,Active,Canyon Meadows School,Collector,E,0001-2359 MON-FRI,,0001-2359 MON-FRI,NONE,0700-1700 SCHOOL DAYS,FR,SW,"MULTILINESTRING ((-114.0775673 50.9477791, -114.0775844 50.9477815, -114.0776015 50.9477837, -114.0776186 50.9477859, -114.0776357 50.9477879, -114.0776569 50.9477903, -114.077678 50.9477925, -114.0776992 50.9477946, -114.0777204 50.9477965, -114.0777416 50.9477983, -114.0777597 50.9477998, -114.0777778 50.947801, -114.0777959 50.9478022, -114.0778141 50.9478032, -114.0778322 50.947804, -114.0778485 50.9478046, -114.0778647 50.9478052, -114.077881 50.9478056, -114.0778972 50.9478059, -114.0779135 50.947806, -114.0779323 50.947806, -114.077951 50.947806, -114.0779698 50.9478059, -114.0779886 50.9478059, -114.0780074 50.9478059, -114.0780481 50.947806, -114.0780888 50.947806, -114.0781295 50.947806, -114.0781702 50.947806, -114.0781806 50.947806))",520aee61-60d4-46d9-9d05-ed431dead781
SCH585,NA,Parallel,Active,Briar Hill School,Residential Street,E,0001-2359 MON-FRI,,0001-2359 MON-FRI,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1109399 51.0633276, -114.1110789 51.0633274))",51635c83-6a70-449e-859d-6a0f90dade61
SCH1035,NA,Parallel,Active,All Saints High School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0251961 50.8596671, -114.025214 50.8596706, -114.0255818 50.8597346, -114.0255957 50.8597364, -114.0256098 50.8597367, -114.0256238 50.8597357, -114.0256374 50.8597333, -114.0256503 50.8597297, -114.0256679 50.8597248, -114.0256866 50.8597219, -114.0257058 50.859721, -114.0257249 50.8597222))",1e6e2c38-7f95-4d6c-8fd3-9531196e6cc0
SCH1037,NA,Parallel,Active,All Saints High School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.027188 50.860031, -114.0272189 50.8600417, -114.0273238 50.8600797, -114.0274269 50.8601194))",6eea6ffe-9ad2-4ed9-9615-8bf0257521e6
SCH1041,SS,Parallel,Active,St Rupert School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9712436 51.0779447, -113.9712844 51.0779383, -113.9713069 51.0779348, -113.9714227 51.0779167, -113.9715039 51.0779046, -113.9715747 51.0778937, -113.9716423 51.0778839, -113.9717267 51.077873, -113.9717535 51.07787))",2115d787-0436-4d00-9e06-dde27daaf1a5
SCH1042,SS,Parallel,Active,St Rupert School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9701105 51.0780641, -113.9701262 51.0780646, -113.9701803 51.078064, -113.9702599 51.0780622, -113.9703668 51.0780578, -113.9704621 51.0780505, -113.9705603 51.0780428, -113.9706516 51.0780336, -113.970756 51.0780197, -113.9708342 51.0780082, -113.9709282 51.0779936, -113.9710064 51.0779811))",653b3b2b-6ed9-49b2-8642-e8bf78cfd56b
SCH1054,NA,Parallel,Active,Alex Munro School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NE,"MULTILINESTRING ((-114.0607331 51.1211896, -114.0611531 51.1211893))",c62b3a8f-47ca-4897-ada0-886989e7b6a9
SCH111,NA,Parallel,Active,Father Doucet School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0855733 50.909635, -114.0855867 50.9096301, -114.0856002 50.9096252, -114.0856136 50.9096203, -114.0856271 50.9096154, -114.0856406 50.9096105, -114.085653 50.909606, -114.0856654 50.9096015, -114.0856778 50.9095971, -114.0856904 50.9095927, -114.0857029 50.9095884, -114.0857167 50.909584, -114.0857586 50.9095716))",a2e4101f-2211-4eea-bdb3-0cea005c4ca7
SCH112,NA,Parallel,Active,Father Doucet School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0852449 50.9097675, -114.0852674 50.9097573, -114.0852756 50.9097536, -114.0852892 50.9097475, -114.0853024 50.9097416, -114.0853157 50.9097358, -114.085329 50.9097301, -114.0853423 50.9097244, -114.0853557 50.9097187, -114.0853692 50.909713, -114.0853828 50.9097074, -114.0853964 50.9097017, -114.08541 50.9096961, -114.0854237 50.9096906, -114.0854381 50.9096848, -114.0854526 50.909679, -114.0854672 50.9096733, -114.0854818 50.9096678, -114.0854966 50.9096623, -114.0855119 50.9096568, -114.0855273 50.9096513, -114.0855426 50.9096459, -114.085558 50.9096405, -114.0855733 50.909635))",4e226934-ecb6-401c-ae07-2dd7f4438fdb
SCH113,NA,Parallel,Active,Father Doucet School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0842837 50.910222, -114.0843231 50.9102055, -114.0843389 50.910199, -114.0843546 50.9101925, -114.0843704 50.910186, -114.0843862 50.9101795, -114.0844018 50.910173, -114.0844129 50.9101683, -114.0844239 50.9101636, -114.0844349 50.9101588, -114.0844459 50.9101541, -114.0844568 50.9101493, -114.0844692 50.9101438, -114.0844815 50.9101383, -114.0844938 50.9101328, -114.0845061 50.9101273, -114.0845185 50.9101219, -114.0845326 50.9101158, -114.0845467 50.9101098))",f805a74a-0ebd-4185-bc56-c9fde3d105f0
SCH124,FHT,Parallel,Active,Keeler School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-113.9638945 51.0495903, -113.9639649 51.0496145, -113.9640394 51.0496401, -113.9640915 51.0496592, -113.9641463 51.0496776, -113.9641741 51.0496884, -113.9642381 51.0497106, -113.9642881 51.0497267, -113.964349 51.0497492, -113.964408 51.0497697, -113.9644587 51.0497864))",93543e29-3056-41e6-aa77-a8cef78f163a
SCH125,FHT,Parallel,Active,Keeler School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-113.9645648 51.0498238, -113.9646352 51.0498478, -113.964676 51.0498619, -113.9647356 51.049883, -113.9647701 51.0498958, -113.9648107 51.0499087, -113.9648525 51.0499181))",15de90c5-7f1e-4429-a2f5-6db48c27a26c
SCH134,NA,Parallel,Active,Lester B. Pearson High School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9548469 51.0763755, -113.9548748 51.076365, -113.9549714 51.0763346, -113.9550524 51.0763074, -113.9551292 51.0762876, -113.9551898 51.0762747, -113.9552688 51.0762562, -113.9553248 51.0762474, -113.9553315 51.0762463, -113.955385 51.0762386, -113.9554583 51.0762303, -113.9555615 51.0762227, -113.9556762 51.0762182, -113.9558039 51.0762181, -113.9559234 51.0762205, -113.9560717 51.0762241, -113.9562047 51.0762272, -113.9563955 51.0762319, -113.9565099 51.076234, -113.95664 51.0762331, -113.9567671 51.0762293, -113.9568388 51.0762262, -113.9569313 51.0762223, -113.9570658 51.0762164, -113.9572898 51.0762078, -113.9573994 51.0762043, -113.9578716 51.0761861))",b13742c8-f26b-4be8-83e4-087f547a2fc5
SCH136,NA,Parallel,Active,Lester B. Pearson High School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9534576 51.0768073, -113.9535904 51.0767896, -113.9536525 51.0767794, -113.953723 51.0767648, -113.9537875 51.07675, -113.9538509 51.0767331, -113.9539091 51.0767161, -113.9539624 51.0766969, -113.9540348 51.0766712, -113.9541192 51.0766415, -113.9542038 51.0766091, -113.954277 51.0765826, -113.9543478 51.0765577, -113.9544268 51.0765288, -113.9544895 51.0765062))",6bd81f87-98c7-4fa6-b05a-c017deb2e126
SCH160,P,Parallel,Active,Montessori School of Calgary,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0763204 51.0349479, -114.0763762 51.0349684, -114.0763868 51.0349723, -114.0763975 51.0349762, -114.0764081 51.0349802, -114.0764188 51.0349841, -114.0764357 51.03499, -114.0764529 51.0349955, -114.0764703 51.0350008, -114.0764878 51.035006, -114.0765054 51.035011, -114.0765191 51.0350149))",5d237092-1f77-454b-b3ee-76b85c590f45
SCH164,J,Parallel,Active,Rideau Park School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0759979 51.0253476, -114.0760085 51.0253519, -114.0760185 51.025355, -114.076027 51.025356, -114.0762086 51.0253585))",ea1d4cdb-5fc8-4d27-821a-b2bb8d0f565d
SCH165,J,Parallel,Active,Rideau Park School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0764905 51.0253618, -114.076524 51.0253617, -114.0765331 51.025361, -114.0765493 51.0253575, -114.0765686 51.0253507))",8433f8e8-199b-4e7f-a95d-2886d44e119e
SCH167,NA,Parallel,Active,Simons Valley School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1044872 51.1398862, -114.1045487 51.1399141, -114.1045907 51.1399326, -114.104668 51.1399652))",13f3e5a5-3c16-468f-ad6c-a359a4aaf6d2
SCH168,NA,Parallel,Active,Simons Valley School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1079681 51.1402463, -114.108022 51.14024, -114.1081005 51.1402308, -114.1081279 51.1402299, -114.1081543 51.1402332))",bd5f0401-a51b-499c-8cda-6a7cc655066a
SCH172,J,Parallel,Active,Western Canada High School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0756581 51.0362277, -114.0756753 51.0362325, -114.0756796 51.0362331, -114.0756839 51.0362335, -114.0756874 51.0362338, -114.0756909 51.036234, -114.0756944 51.0362341, -114.0756978 51.0362342, -114.0757013 51.0362342, -114.0757051 51.0362343, -114.075709 51.0362342, -114.0757128 51.0362342, -114.0757166 51.0362342, -114.0757204 51.036234, -114.0759308 51.0362336, -114.0759443 51.0362334, -114.0759472 51.0362333, -114.0759501 51.0362332, -114.075953 51.0362331, -114.0759559 51.036233, -114.0759588 51.0362329, -114.0759623 51.0362328, -114.0759658 51.0362326, -114.0759693 51.0362325, -114.0759729 51.0362323, -114.0759764 51.0362321, -114.07598 51.0362318, -114.0759835 51.0362314, -114.075987 51.0362309, -114.0759905 51.0362304, -114.075994 51.0362298, -114.0759984 51.0362291, -114.0760028 51.0362284, -114.0760071 51.0362276, -114.0760113 51.0362267, -114.0760155 51.0362256, -114.0760195 51.0362245, -114.0760234 51.0362233, -114.0760274 51.0362221, -114.0760314 51.036221, -114.0760353 51.0362198, -114.0760369 51.0362193))",e1d59f0d-cb62-482a-ac7f-3f411682d9ec
SCH174,NA,Parallel,Active,William D Pratt School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.2248865 51.1495475, -114.2249457 51.1494995, -114.2250133 51.1494425, -114.225079 51.1493846, -114.2250901 51.149373, -114.2250984 51.1493606, -114.225104 51.1493476))",1b21b7f4-9821-434b-89f2-9a9f6992d08e
SCH178,NA,Parallel,Active,Hawkwood School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1783803 51.1299315, -114.1783956 51.1299316, -114.1784152 51.1299322, -114.1784342 51.1299331, -114.1784624 51.1299344, -114.1784886 51.1299357, -114.1785223 51.1299373, -114.1785464 51.1299385, -114.1785558 51.1299393, -114.1785735 51.1299406, -114.1785892 51.1299419))",395b2fc3-8c9e-4f72-93a5-42444957bfab
SCH203,NA,Parallel,Active,Dr. E. W. Coffin School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.133904 51.1037641, -114.1339303 51.1037637, -114.1339814 51.1037646, -114.1340084 51.1037676, -114.1340258 51.1037733, -114.1340434 51.1037811, -114.1340552 51.1037898, -114.1340651 51.1037981, -114.1340711 51.1038068, -114.1340738 51.1038168, -114.1340752 51.1038284))",f06327a1-2808-46ad-97d0-5ff3a37337a2
SCH204,NA,Parallel,Active,Simon Fraser School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1374782 51.100903, -114.1378243 51.1009071, -114.137945 51.1009071, -114.138057 51.100907, -114.1384791 51.1009065, -114.1392684 51.100905))",757c8c1e-744e-4bae-a4c1-a94544c4addb
SCH205,NA,Parallel,Active,Simon Fraser School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.136023 51.100899, -114.1360457 51.1009046, -114.1360639 51.1009072, -114.1360795 51.1009083, -114.136096 51.1009084, -114.136115 51.1009084, -114.1363685 51.1009083, -114.1371625 51.1009072, -114.1371985 51.1009072))",93b1a998-f757-44aa-9dde-9568e544672d
SCH210,NA,Parallel,Active,Captain John Palliser School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1343079 51.0953469, -114.1343226 51.095368, -114.1343416 51.0953857, -114.1343653 51.0953995, -114.1343945 51.0954133, -114.1345454 51.0954788, -114.1345619 51.095486, -114.1346581 51.0955274, -114.1346839 51.0955385))",9437f7ed-1442-4a2c-8b75-a43d483d14c9
SCH215,NA,Parallel,Active,Sir Winston Churchill High School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1401362 51.1009041, -114.1406492 51.100904))",3d8715dc-b50b-426d-b3a0-e9d307dfb941
SCH216,UU,Parallel,Active,F. E. Osborne School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1626754 51.0932767, -114.1626893 51.0932781, -114.1627034 51.0932781, -114.1628026 51.0932686, -114.1629025 51.0932634, -114.1629147 51.0932625, -114.1629265 51.0932605, -114.1629377 51.0932575, -114.1629481 51.0932535, -114.1629595 51.0932492, -114.1629717 51.093246, -114.1629847 51.0932441, -114.1629979 51.0932435, -114.1630604 51.0932435))",9461378a-0c30-41d5-a9df-cd06dcbd395a
SCH233,NA,Parallel,Active,Bishop Pinkham School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.1268639 50.9985901, -114.1268935 50.9986013, -114.1269204 50.9986076, -114.1269421 50.9986093, -114.1269943 50.9986102, -114.1270772 50.9986095, -114.1271989 50.9986091, -114.1274081 50.9986092, -114.1276575 50.9986099, -114.1279353 50.9986092, -114.1280115 50.9986092))",5e6bac40-e374-4585-a47a-76a860b70a5e
SCH235,NA,Parallel,Active,Jennie Elliott School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.1270729 50.9966364, -114.1274387 50.9965522))",b0836922-3fef-40f3-a173-ee6e6af7353b
SCH243,NA,Parallel,Active,Jennie Elliott School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.1278955 50.9946507, -114.1278773 50.9946443, -114.1278578 50.9946396, -114.1278374 50.9946367, -114.1278165 50.9946358, -114.1261279 50.9946379, -114.1257836 50.9946383, -114.1257342 50.9946384))",e43a8c8a-9119-4995-991a-3664fae5ceeb
SCH247,N,Parallel,Active,Southwest Elementary Campus,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.083377 50.9588349, -114.0833781 50.9588395, -114.0833793 50.9588442, -114.0833806 50.9588486, -114.0833823 50.9588529, -114.0833844 50.9588572, -114.0833867 50.9588614, -114.0833894 50.9588656, -114.0833934 50.9588709, -114.083398 50.958876, -114.0834032 50.9588808, -114.083409 50.9588853, -114.0834153 50.9588897, -114.0834216 50.9588936, -114.0834282 50.9588972, -114.083435 50.9589005, -114.0834421 50.9589036, -114.0834495 50.9589065, -114.0834549 50.9589084, -114.0834603 50.9589103, -114.0834658 50.958912, -114.0834715 50.9589134, -114.0834774 50.9589143, -114.083486 50.9589153, -114.0834947 50.9589163, -114.0835033 50.9589173, -114.083512 50.9589183, -114.0835206 50.9589193, -114.0835472 50.9589195, -114.0835713 50.9589197))",d4be22a3-a75e-4a89-8340-c470c2ba570f
SCH25,NA,Parallel,Active,St. Mary's High School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0613777 51.0368996, -114.0613936 51.0369017, -114.0613962 51.0369019, -114.0614343 51.0369044, -114.0614924 51.0369068, -114.0616163 51.0369102, -114.0617769 51.0369156, -114.0619716 51.0369203, -114.0622058 51.0369249, -114.0623956 51.0369319, -114.0625655 51.0369363, -114.0627362 51.0369409, -114.062889 51.0369461, -114.0630628 51.0369509, -114.0632538 51.0369569, -114.0634163 51.0369612, -114.0635509 51.0369655, -114.0636035 51.0369663, -114.0636661 51.0369674, -114.0636759 51.0369675, -114.0637227 51.0369689))",44633624-630b-45f1-a981-498543e1a9ba
SCH259,NA,Parallel,Active,R. T. Alderman School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0447813 50.9603837, -114.0447923 50.9603894, -114.0448108 50.9603972, -114.0448894 50.9604304, -114.0449746 50.9604656, -114.0450679 50.9604982, -114.0451702 50.9605316, -114.0452429 50.9605538, -114.0453293 50.9605799, -114.0454134 50.9606053, -114.0455086 50.9606348, -114.0455857 50.9606583, -114.0456118 50.9606663))",4d8c265f-1f16-4f29-94cc-6cf0f6a2527a
SCH278,R,Parallel,Active,Chinook Park School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,,"MULTILINESTRING ((-114.0874755 50.9874351, -114.0886375 50.9869107))",20328b5e-0769-4ffb-bf4c-56a2b3e3465d
SCH279,R,Parallel,Active,Chinook Park School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,,"MULTILINESTRING ((-114.0896675 50.9868994, -114.0900113 50.9869006))",078bef8b-5181-4566-8841-9fdf8d22e370
SCH288,SCA,Parallel,Active,Scenic Acres School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.2154518 51.1211776, -114.2154602 51.1211803, -114.215471 51.1211826, -114.215482 51.121184, -114.2154933 51.1211844, -114.2155044 51.121184, -114.2155152 51.1211828, -114.2155249 51.1211812, -114.2155344 51.1211792, -114.2155437 51.1211765, -114.2155528 51.1211732, -114.2155616 51.1211691, -114.2155711 51.1211636, -114.215579 51.1211579, -114.2155857 51.1211518, -114.2155915 51.1211454, -114.2155967 51.1211385, -114.2156013 51.1211309, -114.2156043 51.1211229, -114.2156056 51.1211148, -114.2156047 51.1211069))",56a4fc67-dc7c-433f-a702-5e2dd691475a
SCH294,SCA,Parallel,Active,Monsignor E. L. Doyle Elementary School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.2147523 51.1222726, -114.2148807 51.1222739, -114.2149773 51.1222751, -114.2150548 51.1222763, -114.2152059 51.1222813))",0dbdd245-8876-47e0-accf-a14a30db1263
SCH305,H,Parallel,Active,Westmount Mid/High School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1334277 51.071441, -114.1337301 51.0714407, -114.1337531 51.0714401, -114.1337745 51.0714372, -114.1337893 51.0714338))",a43141b1-5ef0-4638-9c9c-871ca161dc51
SCH32,NA,Parallel,Active,St. Mary's High School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.064742 51.0369983, -114.0647473 51.0369984, -114.0648969 51.0370025, -114.065043 51.0370067, -114.0651403 51.0370102, -114.0652369 51.037013, -114.0653152 51.0370153, -114.0653931 51.0370172, -114.0654361 51.0370186, -114.065446 51.0370189, -114.0654842 51.0370191, -114.0655055 51.037018, -114.0655233 51.0370158, -114.0655381 51.0370123, -114.0655478 51.0370092, -114.0655597 51.0370056, -114.0655714 51.036998, -114.0655852 51.0369894, -114.0655902 51.0369849))",2993b46f-84a1-41e4-8d8c-5fbca7be4ba1
SCH325,NA,Parallel,Active,Dr. Roberta Bondar,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,,"MULTILINESTRING ((-114.2059724 51.0498658, -114.2059938 51.0498539, -114.2060181 51.0498444, -114.2060445 51.0498376, -114.2060724 51.0498337, -114.2061009 51.0498327, -114.2061293 51.0498348, -114.2061567 51.0498398, -114.2061824 51.0498475))",66eb45cf-9dfb-4e0f-b72f-f716ec417916
SCH332,NA,Parallel,Active,St. Sebastian Elementary School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0297655 50.8851774, -114.0297758 50.8851785, -114.0297912 50.8851801, -114.0298075 50.8851821, -114.0298213 50.8851828, -114.0298376 50.8851828, -114.0298623 50.8851809))",0efbd5f2-2b76-4dc8-8505-98a3a605a79b
SCH339,F,Parallel,Active,Capitol Hill School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1042982 51.0723097, -114.1043447 51.0723097, -114.1043895 51.0723084, -114.104424 51.072302, -114.104448 51.0722936, -114.1044629 51.0722863))",fe692a84-71b7-44cb-aa50-ce3b6d443539
SCH351,NA,Parallel,Active,Lake Bonavista School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0417644 50.9449637, -114.0421997 50.9449914))",af1f797f-b636-40eb-859b-40b1663ea5ff
SCH352,NA,Parallel,Active,Lake Bonavista School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0402991 50.9448705, -114.0405236 50.9448848))",85d8ba90-9aa1-4e6f-957c-12c92dd78d46
SCH353,NA,Parallel,Active,Lake Bonavista School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0398067 50.9447786, -114.0400824 50.9448445, -114.040136 50.9448543, -114.040231 50.944865))",3ddb8474-811f-4221-aed4-a6529a569187
SCH36,J,Parallel,Active,Mount Royal University - Holy Cross Campus,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0664806 51.0330137, -114.0664831 51.0330163, -114.0664859 51.0330191, -114.0664879 51.0330209, -114.0664902 51.033023, -114.0664966 51.0330285, -114.0664997 51.033031, -114.0665011 51.0330321, -114.0665024 51.0330331, -114.0665048 51.0330347, -114.066507 51.0330359, -114.066509 51.033037, -114.0665124 51.0330386, -114.0665162 51.0330404, -114.0665202 51.0330421, -114.0665244 51.0330438, -114.0665291 51.0330456, -114.0665447 51.0330514, -114.0665504 51.0330535, -114.0665553 51.0330552, -114.0665655 51.0330586, -114.0665745 51.0330616, -114.066583 51.0330643, -114.0665909 51.0330668, -114.0665996 51.0330694, -114.0666072 51.0330715, -114.0666154 51.0330737, -114.0666336 51.0330784, -114.0666404 51.0330802, -114.0666479 51.0330823, -114.0666546 51.0330842, -114.0666728 51.0330897, -114.066734 51.0331085, -114.0667494 51.0331131, -114.0667836 51.0331235, -114.0668253 51.0331374, -114.0668663 51.0331496, -114.0669031 51.0331622, -114.0669443 51.0331761, -114.0669775 51.0331903, -114.0670151 51.0332049, -114.0670523 51.0332209, -114.0670938 51.0332376, -114.0671343 51.0332558, -114.0671758 51.0332746, -114.0671912 51.033283, -114.0672144 51.0332955, -114.0672654 51.0333207, -114.0673021 51.0333411, -114.0673288 51.0333564, -114.0673577 51.0333748, -114.0673893 51.0333949, -114.0674264 51.0334181, -114.0674581 51.0334419, -114.0674908 51.0334682, -114.0675224 51.0334941, -114.0675431 51.0335122, -114.0675672 51.0335345, -114.0675907 51.0335558, -114.0676143 51.0335769, -114.0676348 51.0335971, -114.0676539 51.033618, -114.0676766 51.0336406, -114.0677043 51.0336729, -114.0677066 51.0336756, -114.0677117 51.0336819, -114.0677226 51.0336958, -114.0677253 51.0336992, -114.0677276 51.033702, -114.0677291 51.0337037, -114.0677306 51.0337053, -114.0677323 51.0337071, -114.067734 51.0337088, -114.0677365 51.0337111, -114.0677389 51.0337133, -114.0677416 51.0337156, -114.0677447 51.0337182, -114.0677494 51.033722, -114.0677517 51.0337238, -114.067754 51.0337256, -114.0677563 51.0337272))",c464022c-727f-431d-8056-2757c1ad7888
SCH364,NA,Parallel,Active,Monsignor JJ Obrien School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.1031093 50.9021475, -114.1031835 50.9021474))",2608b957-fa3c-4417-b422-b1c751f7053e
SCH370,NA,Parallel,Active,Monsignor JJ Obrien School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.1027238 50.9021478, -114.1028722 50.9021477))",18fcd981-04ce-4eb7-b2d0-ac7bbb4a94c4
SCH371,NA,Parallel,Active,Monsignor JJ Obrien School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.1019899 50.9021497, -114.1020288 50.9021492, -114.1020641 50.9021488, -114.1021594 50.9021483, -114.1022063 50.9021483))",06b43ed3-aaf8-4e7c-9f78-a416b4b16526
SCH373,NA,Parallel,Active,Woodbine School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,,"MULTILINESTRING ((-114.1277544 50.93597, -114.1277743 50.93597, -114.1278205 50.93597, -114.1280088 50.9359689, -114.1280239 50.9359688, -114.1280289 50.9359688, -114.1280339 50.9359688, -114.1280389 50.9359688, -114.1280439 50.9359688, -114.1280489 50.9359687, -114.1280547 50.9359687, -114.1280604 50.9359687, -114.1280662 50.9359687, -114.1280719 50.9359686, -114.1280777 50.9359686, -114.1280833 50.9359687, -114.128089 50.9359689, -114.1280946 50.9359693, -114.1281002 50.9359698, -114.1281058 50.9359705, -114.1281124 50.9359714, -114.128119 50.9359725, -114.1281254 50.9359738, -114.1281318 50.9359752, -114.1281382 50.9359767, -114.1281436 50.935978, -114.1281489 50.9359794, -114.1281541 50.9359809, -114.1281592 50.9359825, -114.1281642 50.9359844, -114.12817 50.9359868, -114.1281753 50.9359895))",756da2fc-26b3-470a-9ec7-2ad2c1e12410
