DESCRIPTION,PARKING_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,GLOBALID
SCH589,NA,Parallel,Active,St Philip Fine Arts School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0373333 50.9284941, -114.037341 50.928502, -114.0373436 50.9285046, -114.0373462 50.9285071, -114.0373491 50.9285095, -114.0373521 50.9285119, -114.0373552 50.9285141, -114.0373585 50.9285164, -114.0373616 50.9285185, -114.0373649 50.9285205, -114.0373684 50.9285223, -114.037372 50.9285241, -114.0373758 50.9285257, -114.0373806 50.9285277, -114.0373855 50.9285295, -114.0373905 50.9285312, -114.0373956 50.9285327, -114.0374008 50.9285342, -114.0374108 50.9285367, -114.0374209 50.928539, -114.0374309 50.9285413, -114.0374409 50.9285437, -114.0374508 50.9285463, -114.0374679 50.928551, -114.037485 50.9285557, -114.0375021 50.9285606))",740517d5-e279-444e-a2a8-eca7647f38b3
SCH60,J,Parallel,Active,Rideau Park School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0726044 51.0242786, -114.0726055 51.0242754, -114.0726069 51.0242722, -114.0726087 51.0242691, -114.0726102 51.0242672, -114.0726119 51.0242655, -114.0726139 51.0242639, -114.072616 51.0242623, -114.0726182 51.0242608, -114.0726207 51.0242592, -114.0726232 51.0242577, -114.0726258 51.0242562, -114.0726285 51.0242549, -114.0726314 51.0242536, -114.0726351 51.0242522, -114.0726389 51.0242511, -114.0726427 51.0242501, -114.0726467 51.0242492, -114.0726508 51.0242485, -114.0726547 51.0242479, -114.0726587 51.0242475, -114.0726626 51.0242473, -114.0726666 51.0242471, -114.0726705 51.0242471, -114.072674 51.0242473, -114.0726776 51.0242476, -114.0726811 51.024248, -114.0726846 51.0242485, -114.0726881 51.0242491, -114.0726919 51.0242498, -114.0726956 51.0242506, -114.0726992 51.0242516, -114.0727026 51.0242528, -114.0727056 51.0242543, -114.0727076 51.0242554, -114.0727096 51.0242566, -114.0727115 51.0242579, -114.0727134 51.0242591, -114.0727152 51.0242603, -114.0727168 51.0242614, -114.0727184 51.0242624, -114.07272 51.0242635, -114.0727215 51.0242645, -114.0727231 51.0242656))",f046dd2f-539e-4681-b07a-b87dadf0e359
SCH602,NA,Parallel,Active,Sam Livingston School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0602473 50.9460136, -114.0602619 50.9460184, -114.0602698 50.9460198, -114.0602779 50.9460208, -114.0602859 50.9460217, -114.060294 50.9460227, -114.060302 50.9460237, -114.0603101 50.9460247, -114.0603437 50.9460256))",85031066-0bbb-46b8-ae49-12b8b4413f83
SCH605,NA,Parallel,Active,Sam Livingston School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0615543 50.9462304, -114.0615711 50.9462403, -114.0616855 50.9463097, -114.0617158 50.9463284))",15e4e60b-794d-4e2b-9911-5b4e1b8a5be4
SCH61,J,Parallel,Active,Rideau Park School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,,"MULTILINESTRING ((-114.071522 51.0237864, -114.0720708 51.0237897, -114.0722519 51.0237955))",a60cf2c4-b266-4ea7-9fec-b7264a82a1a9
SCH612,Z,Parallel,Active,Queen Elizabeth School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.0994702 51.0575479, -114.099509 51.057554, -114.0996128 51.0575542, -114.0997473 51.0575538, -114.0998978 51.0575537, -114.0999073 51.0575536))",0cc3b495-467c-47fe-b99a-304b3cffdd00
SCH614,Z,Parallel,Active,Queen Elizabeth School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.1008975 51.0575529, -114.1009588 51.0575531, -114.1011193 51.0575523, -114.1012688 51.0575525, -114.1014248 51.0575523, -114.101596 51.0575528, -114.1017513 51.0575527, -114.101955 51.0575524, -114.1022107 51.0575519, -114.102287 51.0575515))",0151e21e-ecb8-4181-b58e-7cfda25911f6
SCH618,NA,Parallel,Active,Don Bosco School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0175222 50.9317848, -114.0175356 50.9317913, -114.0175485 50.9317966, -114.0175617 50.9318011, -114.0175754 50.9318049, -114.0175894 50.9318081, -114.0176039 50.9318107, -114.0176186 50.9318131, -114.0176334 50.9318151, -114.0176482 50.9318169, -114.017663 50.9318182, -114.017678 50.9318192, -114.0176935 50.9318199, -114.0177089 50.9318205, -114.0177244 50.9318208, -114.0177398 50.9318209, -114.0177553 50.9318205, -114.0177698 50.9318199, -114.0177843 50.9318192, -114.0177988 50.9318185, -114.0178133 50.9318176, -114.0178278 50.9318166, -114.0178438 50.9318155, -114.0178598 50.9318144, -114.0178758 50.9318132, -114.0178918 50.931812, -114.0179078 50.9318105, -114.0179267 50.9318087, -114.0179647 50.9318049))",65a41b79-302a-4999-85e1-e9709fa19be2
SCH623,NA,Parallel,Active,St Henry School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,,"MULTILINESTRING ((-114.0808262 51.1184009, -114.0809113 51.1183853, -114.0810227 51.1183551))",af66547d-88dd-4406-abd9-429c925ba74c
SCH624,NA,Parallel,Active,St Henry School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,,"MULTILINESTRING ((-114.0805859 51.1184701, -114.0806199 51.1184601, -114.080635 51.1184558, -114.0806494 51.1184467, -114.080663 51.1184377, -114.0806743 51.1184282))",09174330-b325-4501-8967-d77b94e432b0
